day,gurkor,guitars,slingshots,stocks,sugar,water,tranquillity
2,6.169815688282065,2.815367710065055,2.1265364464486045,10.662704277543616,3.338254497449678,3.897784056514299,7.766913983750171
3,6.1607238555865225,2.813894964308057,2.1277395778662838,10.726619046961735,3.329913612910073,3.8966940815417996,7.812212900072524
4,6.155412205778749,2.8068856686045387,2.118895933478791,10.737988846707145,3.308941403434607,3.898328895144174,7.795780230824736
5,6.141726186560347,2.8109464567000164,2.1205074432158164,10.743113840416747,3.3156713145595975,3.9001443079564404,7.810845230648784
6,6.150854606443431,2.82491619737364,2.1245292547042856,10.72402557056972,3.3156713145595975,3.9025027003109636,7.797151343239071
7,6.1538934945121575,2.821982683052246,2.119298960559933,10.786055888957087,3.293733540162881,3.901777238890841,7.79440880422055
8,6.1538934945121575,2.835517076436596,2.119298960559933,10.885663631883748,3.3165113030052185,3.901777238890841,7.75588048315321
9,6.156930429112702,2.825648956204637,2.0908420341347536,10.84342814448264,3.3064130849670925,3.9072139239316317,7.7544998574777235
10,6.167544366682432,2.8197799378529083,2.0793168724367903,10.860040493955092,3.3064130849670925,3.9090239640537567,7.758640774540931
11,6.19020876651728,2.835152388080052,2.0830304489789295,10.914051729436293,3.3064130849670925,3.911194572148827,7.773799566324695
12,6.191715885818306,2.835517076436596,2.088790042528752,10.812007486003212,3.313149684505175,3.919140077173607,7.782051793278771
13,6.203755678233527,2.8340579562082864,2.0789037193178013,10.730431070158453,3.293733540162881,3.924365435893519,7.769669170616584
14,6.229987172066868,2.821615714395718,2.078077092060417,10.70007339100677,3.294580821371088,3.9252654441939754,7.7544998574777235
15,6.215765111194977,2.815735739737027,2.092071970963401,10.666033128231943,3.294580821371088,3.9216637964465697,7.748974150101173
16,6.209764176405763,2.822349589559486,2.0924817406615235,10.642966776936724,3.300503859888876,3.923825301835075,7.744826498888703
17,6.212765587576485,2.835517076436596,2.096164974305541,10.580460089857551,3.299658559332771,3.933173954845492,7.728206884378297
18,6.2309413155214575,2.843888105851511,2.0973908471186213,10.558532762406784,3.29542781884251,3.9428516337899717,7.72126828690584
19,6.227916824857156,2.849330225907481,2.105539594161059,10.54126322406044,3.300503859888876,3.9394500554307,7.6626604412451975
20,6.241512004850918,2.8409800872260713,2.1118267304202685,10.497411162530552,3.293733540162881,3.944819222666305,7.654240126967475
21,6.2490482430049115,2.836246269918648,2.1079762220517555,10.540752332012197,3.286945044301724,3.946070659381667,7.6612578926143255
22,6.235474469256599,2.8377039247505595,2.1095986045698005,10.454584465739837,3.296241392780167,3.9540766118754367,7.6514306727446115
23,6.239248820795763,2.8460665805285568,2.1225195897775566,10.448510376609827,3.3463585902226964,3.9535435385864495,7.634545653369524
24,6.227160403190201,2.852950796980763,2.1229217210225397,10.431060069415283,3.378417273270377,3.9503431307797396,7.644401151718832
25,6.219589594073592,2.854758840129109,2.1269375887560895,10.531035148004113,3.380050643091205,3.9576280440897285,7.611956339844853
26,6.2188318527597115,2.8518652542934624,2.1277395778662838,10.437611205913692,3.3849445947403822,3.952299336670921,7.614784778669633
27,6.194520330741631,2.8300403211055656,2.119298960559933,10.428675973990297,3.3955166613684704,3.9444669282065443,7.634545653369524
28,6.185371397885815,2.849330225907481,2.1274783908466546,10.386570131427789,3.39957144396674,3.9469612544110704,7.614784778669633
29,6.204411853373277,2.842071048422038,2.1224958188098113,10.209160821163481,3.3857593576736575,3.944823386306808,7.600628869523976
30,6.212006761799651,2.835248994604475,2.1174979641467684,10.186759859351199,3.406854220217141,3.9398291491143,7.604879246487646
31,6.225647200688498,2.8374056357900646,2.120098763831987,10.087048880700152,3.4421706566042514,3.9378648695161074,7.613370730350434
32,6.2211047160603705,2.82876621377246,2.114090627052303,10.071494038546442,3.4381812036175567,3.9367929061341043,7.621849895477189
33,6.2211047160603705,2.8022742503392433,2.1090668029866486,9.986462599717177,3.451720855269694,3.9316063812422497,7.675268361050006
34,6.230941315521457,2.8030044068028186,2.106448243500617,9.956914103581905,3.430984953049701,3.9283826712453487,7.633136371725321
35,6.224133518946599,2.8099285735934916,2.102007149927226,9.950215211029416,3.4301841554304,3.9298158565140473,7.627495852862484
36,6.221630765597267,2.8149154744544993,2.1001868921317453,9.949887196105994,3.435123654355781,3.9304151918704435,7.622790136556194
37,6.223427865136214,2.817954745180017,2.1009806701066585,9.955929428773498,3.4458282633030604,3.9301802957176637,7.619017497300092
38,6.229528544339016,2.819040063284037,2.1043914487160635,9.968353516936007,3.462351838266749,3.9291113176187307,7.616176552243692
39,6.237143466643893,2.832381156947857,2.105393249490254,10.061873226270396,3.4529224082717995,3.9269722241426934,7.584834596887113
40,6.236382519385208,2.8212090682372524,2.1119896211615066,10.152758413826795,3.4236349558066475,3.9228680470189983,7.5633679890822805
41,6.2333375201908785,2.8110683819993336,2.105393249490254,10.203255193656542,3.4458282633030604,3.916790737146451,7.57339560278281
42,6.219610981509748,2.807435138195679,2.088277364649421,10.232684370530725,3.4958691852416384,3.921617838924424,7.577687861556908
43,6.228766385053082,2.801973760278915,2.088277364649421,10.17783491975049,3.5066919043067335,3.921617838924424,7.554759087571278
44,6.239425583175428,2.8081622768446284,2.0828021609072134,10.184949016814379,3.4981920116482126,3.9305365375995964,7.512968031663152
45,6.241706612955324,2.7964984811849476,2.085846251906576,10.127555394607137,3.5259107138897794,3.9351638602699235,7.5071799493432145
46,6.259915899224672,2.8030671448284394,2.081379599918214,10.128973862524461,3.535850780186609,3.934630300161662,7.534621791210619
47,6.259915899224672,2.8030671448284394,2.081379599918214,10.13106783358941,3.5312675860196903,3.934630300161662,7.534621791210619
48,6.265970351202417,2.8030671448284394,2.0907047963533016,10.117513744103219,3.5266766303235237,3.934630300161662,7.534621791210619
49,6.262187212272022,2.8136080175939635,2.0963545747355745,10.136743755908515,3.59250027813853,3.9419141486893547,7.544699190773585
50,6.268238807152476,2.810705332881492,2.098769846834342,10.106616431484317,3.573747010990718,3.93765256241565,7.57339560278281
51,6.273527716805078,2.810705332881492,2.094137386683228,10.079660586142973,3.5865131268819397,3.937830248463205,7.53029752676705
52,6.269750517227784,2.816144670724496,2.091311080922168,10.003991807728099,3.5518313580119263,3.9383632439539844,7.524526804339361
53,6.274282801313357,2.823736831813574,2.085846251906576,10.096904255072255,3.539664205844357,3.9394289531546547,7.499936661822983
54,6.2750377674725195,2.815420216455235,2.0836144849733182,10.170353186282101,3.5228448786483546,3.934452425846986,7.479606817269395
55,6.277301956368287,2.8041599741160286,2.0870622693735585,10.102429124104908,3.5243782305104876,3.927685423915664,7.5115215557137125
56,6.283334598833853,2.811794297068412,2.0825990153988525,10.12290529320081,3.5020589306083094,3.9381855892306747,7.462123771330467
57,6.2765473449487015,2.7939385660113905,2.082192646928415,10.081752962994576,3.5120869831086883,3.9280419605510994,7.463582729705598
58,6.269750517227784,2.785505824823589,2.0703627140746073,10.170048604510892,3.5074632917338517,3.919830926246058,7.504283727136207
59,6.256127990158229,2.7785144822073846,2.074451929523676,10.142619717038484,3.5533484379431175,3.9221537059563643,7.527412885881978
60,6.255370049777752,2.7810929036990237,2.0764926052435215,10.075285001218589,3.5729942119788074,3.9169696568895094,7.53462179121062
61,6.264457452741225,2.774825607195197,2.0801592531370057,10.073844312095327,3.5729942119788074,3.9078311387159395,7.499936661822983
62,6.255370049777752,2.7785144822073846,2.084223457410883,10.163342599377716,3.5947421120951915,3.90944584062209,7.52597002531733
63,6.271261752671645,2.7814609954983354,2.091513124908093,10.126018262218848,3.5947421120951915,3.90944584062209,7.52597002531733
64,6.27503776747252,2.7696504249789013,2.1013823125094335,10.163627561327598,3.5947421120951915,3.9121350816709093,7.569100172922297
65,6.274282801313357,2.775194782144628,2.1083949328480207,10.109950978762773,3.5947421120951915,3.917148565987543,7.606222356651481
66,6.278810824826493,2.7659461405626105,2.107595028404838,10.187932329405218,3.5782594740280587,3.9090870930552732,7.5962511633316705
67,6.27503776747252,2.7585181202413174,2.1051929390123068,10.181659289616851,3.588759833364194,3.9096251983260126,7.544699190773586
68,6.281073242328565,2.7637204647041096,2.111391059980948,10.187269862020608,3.5992203250797257,3.9087283025980035,7.571964145492417
69,6.281073242328565,2.7637204647041096,2.110392966538675,10.180381937002375,3.602201772789605,3.911238935595715,7.581976955715456
70,6.2765473449487015,2.7763019233613786,2.1107922776870485,10.06332718139381,3.5737470109907177,3.9176852294290345,7.579117910914783
